,time,open,high,low,close,tick_volume,spread,real_volume
32952,1667425680,0.98404,0.9841,0.98393,0.98397,139,0,0
32953,1667425740,0.98396,0.98401,0.98343,0.98343,159,0,0
32954,1667425800,0.98346,0.98347,0.98292,0.98328,248,0,0
32955,1667425860,0.9833,0.9833,0.983,0.983,232,0,0
32956,1667425920,0.98303,0.98304,0.98271,0.98292,227,0,0
32957,1667425980,0.98293,0.98316,0.98283,0.98285,196,0,0
32958,1667426040,0.98283,0.98306,0.98283,0.98297,172,0,0
32959,1667426100,0.983,0.98321,0.98282,0.98309,206,0,0
32960,1667426160,0.98309,0.98325,0.98305,0.98312,127,0,0
32961,1667426220,0.98312,0.98323,0.98284,0.98287,108,0,0
32962,1667426280,0.98287,0.98317,0.98285,0.98294,130,0,0
32963,1667426340,0.98295,0.983,0.98283,0.98288,187,0,0
32964,1667426400,0.98285,0.98301,0.98283,0.98286,128,0,0
32965,1667426460,0.98286,0.98292,0.98282,0.9829,90,0,0
32966,1667426520,0.9829,0.98316,0.98285,0.98307,87,0,0
32967,1667426580,0.98304,0.98304,0.98282,0.98283,105,0,0
32968,1667426640,0.98283,0.98289,0.98251,0.98281,107,0,0
32969,1667426700,0.9828,0.98281,0.9826,0.98268,113,0,0
32970,1667426760,0.98268,0.98276,0.98253,0.9827,77,0,0
32971,1667426820,0.98268,0.98287,0.98268,0.98286,84,0,0
32972,1667426880,0.98286,0.98292,0.9828,0.98286,128,0,0
32973,1667426940,0.98286,0.98293,0.98259,0.9826,131,0,0
32974,1667427000,0.9826,0.98283,0.98259,0.98259,125,0,0
32975,1667427060,0.98258,0.98261,0.98251,0.98255,85,0,0
32976,1667427120,0.98254,0.98256,0.98241,0.98252,119,0,0
32977,1667427180,0.98251,0.9827,0.98238,0.9827,133,0,0
32978,1667427240,0.98271,0.98272,0.98244,0.98251,129,0,0
32979,1667427300,0.98252,0.98252,0.98227,0.98234,90,0,0
32980,1667427360,0.98234,0.98243,0.98226,0.9823,75,0,0
32981,1667427420,0.9823,0.98249,0.98226,0.98226,65,0,0
32982,1667427480,0.98226,0.98279,0.98226,0.98273,51,0,0
32983,1667427540,0.98273,0.98274,0.98249,0.98251,73,0,0
32984,1667427600,0.98251,0.98253,0.98241,0.98242,77,0,0
